Función,Dim,Método,X Teórico,X Alcanzado,f(x) Teórico,f(x) Alcanzado,Evaluaciones
Rosenbrock,2D,SGD (BFGS),"[1.00, 1.00]","[1.00, 1.00]",0.0,2.0064e-11,117
Rosenbrock,3D,SGD (BFGS),"[1.00, 1.00, 1.00]","[1.00, 1.00, 1.00]",0.0,3.5920e-11,164
Rosenbrock,2D,Evolución Dif.,"[1.00, 1.00]","[1.00, 1.00]",0.0,0.0000e+00,3873
Rosenbrock,3D,Evolución Dif.,"[1.00, 1.00, 1.00]","[1.00, 1.00, 1.00]",0.0,0.0000e+00,10984
Rosenbrock,2D,PSO,"[1.00, 1.00]","[1.00, 1.00]",0.0,0.0000e+00,50000
Rosenbrock,3D,PSO,"[1.00, 1.00, 1.00]","[0.94, 0.88, 0.77]",0.0,1.9100e-02,75000
Rosenbrock,2D,Alg. Genético,"[1.00, 1.00]","[1.08, 1.16]",0.0,5.8072e-03,100000
Rosenbrock,3D,Alg. Genético,"[1.00, 1.00, 1.00]","[0.84, 0.71, 0.50]",0.0,1.1007e-01,625000
Schwefel,2D,SGD (BFGS),"[420.97, 420.97]","[-25.88, 5.24]",0.0,8.0994e+02,27
Schwefel,3D,SGD (BFGS),"[420.97, 420.97, 420.97]","[-25.88, -25.88, 5.24]",0.0,1.2048e+03,48
Schwefel,2D,Evolución Dif.,"[420.97, 420.97]","[420.97, 420.97]",0.0,2.5456e-05,1086
Schwefel,3D,Evolución Dif.,"[420.97, 420.97, 420.97]","[420.97, 420.97, 420.97]",0.0,3.8183e-05,2319
Schwefel,2D,PSO,"[420.97, 420.97]","[420.97, 420.97]",0.0,2.5455e-05,50000
Schwefel,3D,PSO,"[420.97, 420.97, 420.97]","[-302.52, 420.97, 420.97]",0.0,1.1844e+02,75000
Schwefel,2D,Alg. Genético,"[420.97, 420.97]","[420.97, 420.97]",0.0,2.5468e-05,100000
Schwefel,3D,Alg. Genético,"[420.97, 420.97, 420.97]","[420.97, 420.97, 420.97]",0.0,3.8226e-05,625000
